're 1999 
****** 1969 1987 1988 1989 
-has-in 1991 
-laying-off-5 1979 
-rejects-tw 1996 
-seek 1981 
-sues-to-f 1994 
/author 1968 1990 
0.15 1990 
0.152 1990 
0.18 1990 
0.210 1990 
0.23 1990 
0.26 1990 
0.285 1990 
0.635 1990 
0.64 1990 
0.902 1990 
0.948 1990 
0.95 1990 
0009 1969 1988 1989 
0012 1987 
0034 1983 
0052 1971 
0053 1997 
0056 1993 
0064 1972 1996 
0065 1982 
0079 1992 
0080 2000 
0083 1979 1994 
0085 1980 1998 
0092 1975 
0095 1984 
0098 1978 
0100 1970 
0103 1981 1991 
0104 1968 
0105 1986 
0106 1977 1995 
0108 1999 
0109 1974 
0111 1990 
0112 1973 
0113 1985 
0115 1976 
03-05 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 
0620 1984 
0758 1984 
07:05:18.67 1968 
07:16:04.66 1969 
07:16:58.61 1970 
07:17:06.10 1971 
07:17:49.14 1972 
07:22:16.36 1973 
07:25:34.36 1974 
07:33:13.33 1975 
07:33:26.77 1976 
07:51:35.74 1977 
07:55:53.68 1978 
08:13:26.34 1979 
08:15:17.95 1980 
08:17:18.91 1981 
08:17:41.50 1982 
08:20:45.68 1983 
08:25:49.04 1984 
08:26:25.34 1985 
08:30:56.21 1986 
08:31:35.25 1987 
08:33:12.93 1988 
08:34:07.56 1989 
08:37:35.97 1990 
08:41:49.49 1991 
08:48:05.99 1992 
08:48:10.80 1993 
08:48:26.52 1994 
08:51:03.93 1995 
08:58:43.02 1996 
08:59:21.09 1997 
08:59:27.34 1998 
0920 1984 
09:02:50.88 1999 
09:05:42.45 2000 
1,000 1984 1992 
1,300 1973 
1-1/2 1977 1978 1986 
1-1/4 1992 
1.00 1990 
1.10 1990 
1.133 1990 
1.14 1990 
1.15 1976 1990 
1.16 1990 
1.19 1970 
1.238 1990 
1.373/87 1983 
1.4 1990 
1.40 1990 
1.466 1990 
1.495 1990 
1.5 1996 
1.50 1990 
1.75 1990 
1.80 1990 
